# MRS Dithers from PRDOPSSOC-M-025 (and many earlier versions)
# Created Spring 2017
#
# Note that this is not the actual PRD file, which has fewer columns
# and less friendly formatting

dpos band alpha1a beta1a v2 v3 dxidl dyidl
# This is a comment
1 1A -1.07800 0.528000 -504.793 -319.106 1.13872 -0.363763
2 1A 0.980000 -0.440000 -502.627 -318.448 -1.02753 0.294924
3 1A -0.980000 0.440000 -504.684 -319.034 1.02942 -0.291355
4 1A 1.07800 -0.528000 -502.518 -318.374 -1.13622 0.368474
5 1A 1.07800 0.528000 -502.663 -319.427 -0.991233 -0.684205
6 1A -0.980000 -0.440000 -504.559 -318.164 0.904624 0.578383
7 1A 0.980000 0.440000 -502.748 -319.324 -0.906518 -0.581952
8 1A -1.07800 -0.528000 -504.643 -318.063 0.988733 0.679495
9 2A -1.07800 1.58400 -504.943 -320.149 1.30709 -1.05803
10 2A 0.980000 -1.32000 -502.506 -317.571 -1.13016 1.52079
11 2A -0.980000 1.44500 -504.826 -320.027 1.19033 -0.935641
12 2A 1.07800 -1.45800 -502.391 -317.447 -1.24553 1.64454
13 2A 1.07800 1.58400 -502.808 -320.479 -0.827866 -1.38789
14 2A -0.980000 -1.32000 -504.434 -317.294 0.798203 1.79712
15 2A 0.980000 1.44500 -502.886 -320.326 -0.749937 -1.23439
16 2A -1.07800 -1.45800 -504.511 -317.144 0.875021 1.94727
17 3A -2.45000 2.21800 -506.394 -320.562 2.02133 -1.76388
18 3A 1.57600 -0.686000 -502.006 -318.288 -2.36651 0.510436
19 3A -2.32800 2.02400 -506.245 -320.391 1.87227 -1.59221
20 3A 1.69800 -0.880000 -501.859 -318.112 -2.51308 0.686804
21 3A 1.69800 2.21800 -502.280 -321.208 -2.09195 -2.40940
22 3A -2.32800 -0.686000 -505.852 -317.727 1.47992 1.07107
23 3A 1.57600 2.02400 -502.375 -320.995 -1.99739 -2.19663
24 3A -2.45000 -0.880000 -505.944 -317.519 1.57198 1.27914
25 4A -1.96000 3.16800 -506.045 -321.574 2.91614 -2.08578
26 4A 2.81800 -1.67200 -500.651 -317.476 -2.47787 2.01150
27 4A -1.82400 2.84500 -505.863 -321.277 2.73458 -1.78938
28 4A 2.95400 -1.99400 -500.474 -317.172 -2.65446 2.31601
29 4A 2.95400 3.16800 -501.161 -322.358 -1.96698 -2.86983
30 4A -1.82400 -1.67200 -505.214 -316.829 2.08562 2.65917
31 4A 2.81800 2.84500 -501.254 -322.012 -1.87495 -2.52382
32 4A -1.96000 -1.99400 -505.301 -316.493 2.17296 2.99509
33 1A -0.0490000 0.484000 -503.770 -319.216 0.116002 -0.473045
34 1A 0.0490000 -0.484000 -503.539 -318.269 -0.115898 0.473241
35 1A 0.0490000 0.484000 -503.674 -319.230 0.0191953 -0.487593
36 1A -0.0490000 -0.484000 -503.635 -318.255 -0.0192994 0.487396
37 1A -0.0489999 0.0440000 -503.709 -318.779 0.0545012 -0.0364807
38 1A 0.0490000 -0.0440000 -503.600 -318.706 -0.0544918 0.0364986
39 1A 0.0489999 0.0440000 -503.612 -318.793 -0.0422105 -0.0508500
40 1A -0.0490000 -0.0440000 -503.697 -318.692 0.0422012 0.0508321
41 2A -0.0489999 0.0695000 -503.713 -318.804 0.0764444 0.287213
42 2A 0.0490000 -0.0695000 -503.596 -318.681 -0.0396716 0.410804
43 2A 0.0489999 0.0695000 -503.616 -318.819 -0.0202728 0.272834
44 2A -0.0490000 -0.0695000 -503.693 -318.666 0.0570159 0.425128
45 3A -0.0610001 0.0970001 -503.728 -318.830 -0.644187 -0.0313308
46 3A 0.0609999 -0.0969999 -503.581 -318.655 -0.791667 0.143328
47 3A 0.0610000 0.0970001 -503.608 -318.848 -0.764597 -0.0492458
48 3A -0.0610000 -0.0969999 -503.701 -318.637 -0.671308 0.161145
49 4A -0.0680001 0.161500 -503.744 -318.893 0.615669 0.595130
50 4A 0.0680000 -0.161500 -503.565 -318.592 0.436358 0.895757
51 4A 0.0679998 0.161500 -503.610 -318.913 0.481422 0.575123
52 4A -0.0680001 -0.161500 -503.699 -318.572 0.570509 0.915582
