subarray,filter,ref_filter,dx,dy
MASK1065,F1065C,F1065C,0.0,0.0
MASK1065,F1500W,F1065C,0.19121024138381648,-0.822911052620391
MASK1065,F560W,F1065C,-0.03309756541382852,-1.4387896999111953
MASK1065,FND,F1065C,0.13582106901312335,-1.2279678857520966
MASK1140,F1140C,F1140C,0.0,0.0
MASK1140,F1500W,F1140C,0.38138752258285713,-0.5872124551206599
MASK1140,F560W,F1140C,0.11230576482675791,-1.2461317298956693
MASK1140,FND,F1140C,0.3271697855783265,-0.9660751864951773
MASK1550,F1500W,F1550C,-0.08808294653695123,-0.7026117757770026
MASK1550,F1550C,F1550C,0.0,0.0
MASK1550,F560W,F1550C,-0.554970557452205,-1.4172281032294827
MASK1550,F1000W,F1550C,-0.329, -0.855
MASK1550,FND,F1550C,-0.25904088927825986,-1.0810837582944424
MASKLYOT,F1000W,F2300C,0.9291579077406941,-1.3017924325688095
MASKLYOT,F1500W,F2300C,0.9567633606371903,-1.1707678927579366
MASKLYOT,F2300C,F2300C,0.0,0.0
MASKLYOT,F560W,F2300C,1.0692616107126018,-2.0650607905938245
MASKLYOT,FND,F2300C,0.9187159536913048,-1.5764380715635262
